entry,attribution
DIPHTHONGIZATION,Sweet
DIPHTHONGIZE,Sweet
DIPLOGENIC,Wright
DIPLOMATIC; DIPLOMATICAL,Astle
DIPLOMATIST,Macaulay
DIPODY,Goodwin
DIPSAS,Milton
DIPSETIC,Wright
DIPTOTE,Andrews
DIRE,Milton
DIRE,Milton
DIRECT,Locke
DIRECT,Shak
DIRECT,Locke
DIRECT,Hallam
DIRECT,Wharton
DIRECT,Abbott
DIRECT,Knight
DIRECT,Lubbock
DIRECT,Shak
DIRECTION,Shak
DIRECTION,Pope
DIRECTION,Wilhelm
DIRECTIVE,Hooker
DIRECTIVE,Barrow
DIRECTIVE,Shak
DIRECTLY,Shak
DIRECTLY,Hooker
DIRECTLY,Shak
DIRECTLY,Shak
DIRECTLY,Shak
DIRECTLY,Dickens
DIRECTOR,Swift
DIRECTORIAL,Burke
DIRECTRESS,Hurd
DIRECTRIX,Taylor
DIRELY,Drayton
DIREMPTION,Hall
DIRENESS,Shak
DIREPTITIOUS,Dict
DIRGE,Ford
DIRGEFUL,Coleridge
DIRIGE,Wyclif
DIRIGENT,Baxter
DIRK,Scott
DIRT,Melmoth
DIRT,Swift
DIRTY,Spenser
DIRTY,Locke
DIRTY,Pope
DIRTY,Arnold
DIS-,Di-
DIS,Shak
DISABILITY,Bancroft
DISABILITY,Abbott
DISABLE,Taylor
DISABLE,Shak
DISABLE,Blackstone
DISABLEMENT,Bacon
DISABUSE,South
DISABUSE,Adams
DISACCOMMODATE,Warburton
DISACCOMMODATION,Hale
DISACCORD,Monthly
DISACCORDANT,Fabyan
DISADORN,Congreve
DISADVANTAGE,Burke
DISADVANTAGE,Palfrey
DISADVANTAGE,Bancroft
DISADVANTAGEOUS,Prescott
DISADVENTURE,Raleigh
DISAFFECT,Clarendon
DISAFFECT,Hammond
DISAFFECT,Hall
DISAFFECTED,Newman
DISAFFECTION,Taylor
DISAFFOREST,Blackstone
DISAGREE,Atterbury
DISAGREEABLE,Udall
DISAGREEABLE,Wollaston
DISAGREER,Hammond
DISALLOW,Milton
DISALLOWABLE,Raleigh
DISANIMATE,Shak
DISANIMATION,Browne
DISAPPEARANCE,Addison
DISAPPOINT,Macaulay
DISAPPOINTED,Shak
DISAPPOINTMENT,Addison
DISAPPOINTMENT,Keble
DISAPPROBATION,Burke
DISAPPROPRIATE,Blackstone
DISAPPROPRIATE,Milton
DISAPPROPRIATE,Blackstone
DISARM,Fuller
DISARM,Tennyson
DISARMED,Cussans
DISARRANGEMENT,Cowper
DISARRAY,Spenser
DISARRAY,Daniel
DISARRAY,Spenser
DISASSENT,Hall
DISASSIDUITY,Wotton
DISASSIMILATION,Martin
DISASSIMILATIVE,McKendrick
DISASSOCIATE,Florio
DISASTER,Shak
DISASTER,Longfellow
DISASTER,Sidney
DISASTROUS,Milton
DISASTROUS,Shak
DISATTIRE,Spenser
DISAVOW,Dryden
DISAVOW,Ford
DISAVOWAL,Richardson
DISBAND,Knolles
DISBAND,Milton
DISBAND,Herbert
DISBAND,Tillotson
DISBAR,Abbott
DISBARK,Pope
DISBASE,Jonson
DISBELIEF,Tillotson
DISBELIEF,Carlyle
DISBELIEVE,Mill
DISBOSCATION,Scott
DISBRANCH,Shak
DISBURDEN,Feltham
DISBURDEN,Hammond
DISBURDEN,Milton
DISBURSE,Macaulay
DISBURSEMENT,Statutes
DISCARD,Swift
DISCARD,Taylor
DISCASE,Shak
DISCEDE,Fuller
DISCEPT,Browning
DISCEPTATION,Strype
DISCERN,Boyle
DISCERN,Beattie
DISCERN,Tennyson
DISCERNER,Clarendon
DISCERNIBLE,Macaulay
DISCERNIBLY,Hammond
DISCERNING,Macaulay
DISCERP,Hurd
DISCERPTIVE,Dict
DISCHARGE,Knolles
DISCHARGE,Spencer
DISCHARGE,Dryden
DISCHARGE,Shak
DISCHARGE,Milton
DISCHARGE,Shak
DISCHARGE,Macaulay
DISCHARGE,Dryden
DISCHARGE,Shak
DISCHARGE,Bacon
DISCHARGE,Motley
DISCHARGE,Milton
DISCHARGE,Milton
DISCHARGE,Sharp
DISCHURCH,Hall
DISCIFLORAL; DISCIFLOROUS,Calycifloral
DISCINCT,Scott
DISCIPLE,Spenser
DISCIPLE,Jonson
DISCIPLE,Griffin
DISCIPLESHIP,Taylor
DISCIPLINABLENESS,Hale
DISCIPLINAL,Latham
DISCIPLINARY,Ferne
DISCIPLINARY,Buckminster
DISCIPLINE,Bacon
DISCIPLINE,Smith
DISCIPLINE,Dryden
DISCIPLINE,Rogers
DISCIPLINE,Addison
DISCIPLINE,Clarendon
DISCIPLINE,Macaulay
DISCLAIM,Dryden
DISCLAIM,Farmer
DISCLAIM,Milman
DISCLAIM,Blackstone
DISCLAIMER,Burrill
DISCLAIMER,Burke
DISCLAMATION,Hall
DISCLOAK,Jonson
DISCLOSE,Bacon
DISCLOSE,Woodward
DISCLOSE,Pope
DISCLOSE,Addison
DISCLOSE,Young
DISCLOSED,Cussans
DISCLOSURE,Webster
DISCLUSION,More
DISCOAST,Fletcher
DISCOAST,Barrow
DISCOLORATION,Darwin
DISCOLORATION,Arbuthnot
DISCOLORED,Chapman
DISCOMFIT,Spenser
DISCOMFIT,Shak
DISCOMFIT,Milton
DISCOMFITURE,Macaulay
DISCOMFORT,Shak
DISCOMFORT,Arnold
DISCOMFORT,Hall
DISCOMFORTABLE,Sidney
DISCOMFORTABLE,Thackeray
DISCOMMEND,Taylor
DISCOMMEND,Pepys
DISCOMMENDER,Johnson
DISCOMMODITY,Bacon
DISCOMMON,Hall
DISCOMMON,Warton
DISCOMMON,Burrill
DISCOMMUNITY,Darwin
DISCOMPANY,Jonson
DISCOMPLIANCE,Pepys
DISCOMPOSE,Pope
DISCOMPOSE,Glanvill
DISCOMPOSURE,Akenside
DISCOMPT,Hudibras
DISCONCERT,Thackeray
DISCONCERT,Temple
DISCONFORMITY,Milton
DISCONFORMITY,Hakewill
DISCONGRUITY,Hale
DISCONNECT,Burke
DISCONNECTION,Burke
DISCONSOLATE,Moore
DISCONSOLATE,Dryden
DISCONSOLATE,Ray
DISCONSOLATED,Sterne
DISCONSOLATION,Hall
DISCONTENT,Taylor
DISCONTENT,Suckling
DISCONTENT,Shak
DISCONTENT,Fuller
DISCONTENTING,Milton
DISCONTENTMENT,Bacon
DISCONTINUANCE,Burrill
DISCONTINUATION,Newton
DISCONTINUE,Shak
DISCONTINUE,Daniel
DISCONTINUE,Holder
DISCONTINUE,Bacon
DISCONTINUER,Fuller
DISCONTINUOUS,De Quincey
DISCONVENIENT,Reynolds
DISCORD,Burke
DISCORD,Bacon
DISCORDANCE; DISCORDANCY,Taylor
DISCORDANT,Motley
DISCORDANT,Longfellow
DISCORRESPONDENT,Montagu
DISCOUNT,Walsh
DISCOUNT,Hamilton
DISCOUNTENANCE,Bancroft
DISCOUNTENANCE,Clarendon
DISCOUNTENANCER,Bacon
DISCOUNTER,Burke
DISCOURAGEABLE,Hall
DISCOURAGER,Lewis
DISCOURE,Spenser
DISCOURSE,Shak
DISCOURSE,Shak
DISCOURSE,Locke
DISCOURSE,Shak
DISCOURSE,Shak
DISCOURSE,Shak
DISCOURSE,Foxe
DISCOURSE,Evelyn
DISCOURSER,Milward
DISCOURSER,Browne
DISCOURSIVE,Milton
DISCOURSIVE,Dryden
DISCOURTESY,Herbert
DISCOURTSHIP,Jonson
DISCOVER,Abp
DISCOVER,Shak
DISCOVER,Bacon
DISCOVER,Shak
DISCOVER,Smith
DISCOVER,Milton
DISCOVERER,Raleigh
DISCOVERER,Shak
DISCOVERY,South
DISCOVERY,Prescott
DISCREDIT,Rogers
DISCREDIT,Strype
DISCREDIT,Wotton
DISCREET,Pope
DISCREET,Longfellow
DISCREPANCE; DISCREPANCY,Elyot
DISCREPANT,Cudworth
DISCREPANT,Taylor
DISCRETE,Hale
DISCRETE,Browne
DISCRETION,Shak
DISCRETION,Discrimination
DISCRETION,Shak
DISCRIMINATE,Barrow
DISCRIMINATING,Canning
DISCRIMINATION,Trench
DISCRIMINATION,Reynolds
DISCRIMINATION,Hadley
DISCRIMINATIVE,Johnson
DISCRIMINATIVE,More
DISCRIMINATIVELY,Foster
DISCROWN,Motley
DISCRUCIATE,Herrick
DISCUBITORY,Browne
DISCULPATION,Burke
DISCUMBENCY,Browne
DISCURE,Spenser
DISCURSION,Coleridge
DISCURSIST,Addison
DISCURSIVE,Hazlitt
DISCURSIVE,Carlyle
DISCURSIVE,Milton
DISCURSORY,Hall
DISCUSS,Browne
DISCUSS,Wotton
DISCUSS,Rambler
DISCUSS,Spenser
DISCUSS,Baker
DISCUSSER,Wood
DISCUSSION,Macaulay
DISCUSSION,Dict
DISCUSSIVE,Hopkins
DISDAIN,Shak
DISDAIN,Spenser
DISDAIN,Sidney
DISDAIN,Young
DISDAINED,Shak
DISDAINFUL,Akenside
DISDEIGN,Spenser
DISEASE,Spenser
DISEASE,Shak
DISEASE,Shak
DISEASE,Madison
DISEASE,Spenser
DISEASE,Macaulay
DISEASED,Irving
DISEASEFUL,Bacon
DISEDGE,Tennyson
DISEMBARK,Shak
DISEMBARK,Cowper
DISEMBARRASS,Scott
DISEMBAY,Sherburne
DISEMBELLISH,Carlyle
DISEMBODIED,Bryant
DISEMBODY,Scott
DISEMBOGUE,Addison
DISEMBOGUE,Young
DISEMBOGUEMENT,Mease
DISEMBOWEL,Cook
DISEMBOWEL,Thomson
DISEMBOWEL,Philips
DISEMBROIL,Addison
DISEMPLOY,Taylor
DISEMPLOYMENT,Taylor
DISEMPOWER,Bushnell
DISENAMOR,Shelton
DISENCHAINED,Poe
DISENCHANT,Dryden
DISENCHARM,Taylor
DISENCUMBER,Owen
DISENCUMBER,Dryden
DISENCUMBRANCE,Spectator
DISENDOW,Gladstone
DISENDOWMENT,Smith
DISENGAGEMENT,Jones
DISENGAGEMENT,Butler
DISENNOBLE,Guardian
DISENSHROUDED,Browning
DISENSLAVE,South
DISENTANGLE,Stewart
DISENTANGLEMENT,Warton
DISENTHRONE,Milton
DISENTITLE,South
DISENTRAIL,Spenser
DISENTRANCE,Hudibras
DISENTWINE,Shelley
DISESTABLISH,Arnold
DISESTEEM,Milton
DISESTEEM,Denham
DISESTEEM,Lytton
DISESTEEM,Jonson
DISESTEEMER,Boyle
DISEXERCISE,Milton
DISFASHION,More
DISFAVOR,Gladstone
DISFAVOR,Clarendon
DISFAVOR,Swift
DISFAVOR,Jonson
DISFAVORER,Bacon
DISFELLOWSHIP,Quart
DISFIGURATION,Gauden
DISFIGURE,Milton
DISFIGUREMENT,Hume
DISFOREST,Fuller
DISFORESTATION,Daniel
DISFORMITY,Clarke
DISFRANCHISE,Thirlwall
DISFRANCHISEMENT,Palfrey
DISFRIAR,Fuller
DISFURNISH,Massinger
DISGALLANT,Jonson
DISGARNISH,Hall
DISGARRISON,Hewyt
DISGAVEL,Burrill
DISGLORIFY,Milton
DISGLORY,Northbrooke
DISGORGE,Hakluyt
DISGORGE,Dryden
DISGORGE,Milton
DISGRACE,Shak
DISGRACE,Bacon
DISGRACE,Macaulay
DISGRACE,Pope
DISGRACE,Johnson
DISGRACE,Spenser
DISGRACEFUL,Jonson
DISGRACIOUS,Shak
DISGUISE,Macaulay
DISGUISE,Lowell
DISGUISE,Spectator
DISGUISE,Addison
DISGUISE,Webster
DISGUISE,Shak
DISGUISE,Jonson
DISGUISER,Shak
DISGUISER,Hall
DISGUST,Prescott
DISGUST,Newman
DISGUST,Macaulay
DISGUST,Macaulay
DISGUSTFUL,Burke
DISH,Hood
DISH,Ogilvie
DISHABILLE,Smollett
DISHABIT,Shak
DISHABITED,Carew
DISHABLE,Spenser
DISHALLOW,Tennyson
DISHALLOW,Adams
DISHARMONY,Coleridge
DISHAUNT,Halliwell
DISHEARTEN,Macaulay
DISHELM,Tennyson
DISHERISON,Hall
DISHEVEL,Spenser
DISHEVEL,Cowper
DISHEVEL,Herbert
DISHEVELE,Chaucer
DISHEVELED,Symonds
DISHONEST,Pope
DISHONEST,Dryden
DISHONEST,Bancroft
DISHONEST,Chapman
DISHONESTY,Shak
DISHONOR,Tennyson
DISHONOR,Dryden
DISHONORABLE,Shak
DISHONORARY,Holmes
DISHONORER,Milton
DISHORSE,Tennyson
DISILLUSION,Lowell
DISILLUSIONIZE,Black
DISIMPROVE,Taylor
DISINCLINATION,Arbuthnot
DISINCLINATION,Guardian
DISINCLINE,Clarendon
DISINCLINE,Cowper
DISINCORPORATE,Bacon
DISINCORPORATE,Bacon
DISINFLAME,Chapman
DISINGENUOUS,Pope
DISINGENUOUS,Warton
DISINGENUOUS,Macaulay
DISINHERISON,Bacon
DISINHERIT,Milton
DISINTEGRABLE,Kirwan
DISINTEGRATE,Kirwan
DISINTEGRATION,Motley
DISINTER,Addison
DISINTEREST,Jer
DISINTERESTED,Channing
DISINTERESTEDNESS,Macaulay
DISINTERESTING,Warburton
DISJECTION,Horsley
DISJOIN,Milton
DISJOIN,Addison
DISJOIN,Pennant
DISJOINT,Milton
DISJOINT,Longfellow
DISJOINT,Shak
DISJOINTLY,Sandys
DISJUNCTION,Coleridge
DISJUNCTIVELY,More
DISK,Pope
DISKINDNESS,Tucker
DISLEAVE,Lowell
DISLIKE,Johnson
DISLIKE,Hammond
DISLIKE,Hannah More
DISLIKE,Morley
DISLIKE,Ward
DISLIKELIHOOD,Scott
DISLIVE,Chapman
DISLOCATE,Shak
DISLOCATE,Fuller
DISLOCATE,Montgomery
DISLOCATION,Burnet
DISLODGE,Shak
DISLODGE,Milton
DISLOIGN,Spenser
DISLOYAL,Browning
DISMAIL,Spenser
DISMAL,Spenser
DISMAL,Goldsmith
DISMAL,Southey
DISMANTLE,Comber
DISMASK,Shak
DISMAY,Spenser
DISMAY,Pope
DISMAY,Pope
DISMAY,Pope
DISMAY,Macaulay
DISMAY,Barbauld
DISMAY,Spenser
DISMAYFUL,Spenser
DISME,Ayliffe
DISMEMBER,Pope
DISMEMBER,Gladstone
DISMEMBER,Buckle
DISMEMBER,North
DISMEMBERMENT,Macaulay
DISMISS,Cowper
DISMISS,Dryden
DISMISS,Herbert
DISMISSAL,Motley
DISMOUNT,Spenser
DISMOUNT,Barrow
DISNATURALIZE,Locke
DISOBEDIENT,Burke
DISOBEISANCE,Hall
DISOBEY,Tennyson
DISOBEY,Sidney
DISOBLIGATION,Taylor
DISOBLIGE,South
DISOBLIGE,Addison
DISOBLIGE,Milton
DISOPINION,Reynolds
DISORB,Shak
DISORDER,Pope
DISORDER,Shak
DISORDER,Burke
DISORDER,Taylor
DISORDERLY,Raleigh
DISORDINATELY,Hall
DISORGANIZATION,Scott
DISORIENT,Warburton
DISOWN,Dryden
DISPACE,Spenser
DISPARAGE,Atterbury
DISPARAGE,Milton
DISPARAGE,Spenser
DISPARAGEMENT,Spenser
DISPARAGEMENT,Taylor
DISPARATE,Coleridge
DISPARITION,Hall
DISPARITY,Taylor
DISPARITY,Macaulay
DISPARK,Taylor
DISPARK,Waller
DISPART,Spenser
DISPART,Emerson
DISPART,Cys
DISPART,Lucar
DISPASSIONATE,Clarendon
DISPATCH,Shak
DISPATCH,Udall
DISPATCH,Walpole
DISPATCH,Shak
DISPATCH,Milton
DISPATCH,Shak
DISPATCH,Paley
DISPATCHFUL,Milton
DISPATHY,Southey
DISPAUPERIZE,Mill
DISPEL,Milton
DISPEL,Dryden
DISPEND,Fuller
DISPENSABLE,Coleridge
DISPENSARY,Pope
DISPENSATION,Burke
DISPENSATION,Rogers
DISPENSATION,Ward
DISPENSATIVELY,Wotton
DISPENSATOR,Bacon
DISPENSATORY,Rainbow
DISPENSE,Dryden
DISPENSE,Gower
DISPENSE,Macaulay
DISPENSE,Johnson
DISPENSE,Spenser
DISPENSE,Spenser
DISPEOPLE,More
DISPEOPLE,Milton
DISPEOPLER,Gay
DISPERPLE,Chapman
DISPERSE,Shak
DISPERSONATE,Hare
DISPIRIT,Dryden
DISPIRIT,Collier
DISPIRIT,Fuller
DISPIRITMENT,Carlyle
DISPITEOUS,Spenser
DISPLACE,Shak
DISPLACEMENT,Hamilton
DISPLACEMENT,Whewell
DISPLACENCY,Browne
DISPLANT,Spenser
DISPLANTATION,Raleigh
DISPLAY,Spenser
DISPLAY,Burke
DISPLAY,Prescott
DISPLAY,Chapman
DISPLAY,Shak
DISPLAY,Trench
DISPLE,Spenser
DISPLEASE,Fletcher
DISPLEASING,Locke
DISPLEASURE,Milton
DISPLEASURE,Peacham
DISPLICENCE; DISPLICENCY,Montagu
DISPLODE,Milton
DISPLOSION,Young
DISPLUME,Burke
DISPONE,Chaucer
DISPONE,Scott
DISPONGE,Shak
DISPOPE,Tennyson
DISPORT,Milton
DISPORT,Pope
DISPORT,Byron
DISPORT,Buckle
DISPORT,Prynne
DISPORTMENT,More
DISPOSABLE,Burke
DISPOSAL,Milton
DISPOSAL,Tatler
DISPOSAL,South
DISPOSE,Pope
DISPOSE,Spenser
DISPOSE,Dryden
DISPOSE,Evelyn
DISPOSE,Dryden
DISPOSE,Bacon
DISPOSE,Locke
DISPOSE,Burnet
DISPOSE,Tatler
DISPOSE,Waller
DISPOSE,Shak
DISPOSE,Speed
DISPOSE,Shak
DISPOSER,Barrow
DISPOSITION,Dryden
DISPOSITION,Strype
DISPOSITION,Shak
DISPOSITIVE,Bates
DISPOSITIVE,Taylor
DISPOSITIVELY,Browne
DISPOSITIVELY,Boyle
DISPOSSESS,Goldsmith
DISPOSSESSION,Hall
DISPOSSESSOR,Cowley
DISPOSURE,Massinger
DISPOSURE,Wotton
DISPRAISE,Chaucer
DISPRAISE,Shak
DISPRAISE,Dryden
DISPRAISE,Tennyson
DISPREAD,Spenser
DISPREAD,Thomson
DISPREADER,Milton
DISPREJUDICE,Montagu
DISPRINCE,Tennyson
DISPROFESS,Spenser
DISPROFIT,Foxe
DISPROOF,Rogers
DISPROPORTION,Shak
DISPROPORTION,Prescott
DISPROPORTIONABLE,Hammond
DISPROPORTIONALITY,More
DISPROVABLE,Boyle
DISPROVE,Atterbury
DISPUNCT,Jonson
DISPUTABLE,Taylor
DISPUTACITY,Ward
DISPUTANT,Milton
DISPUTANT,Macaulay
DISPUTATIOUS,Buckminster
DISPUTATIVE,Watts
DISPUTE,Prescott
DISPUTE,Shak
DISPUTE,Milton
DISPUTELESS,Bailey
DISQUALIFICATION,Shore
DISQUALIFY,Swift
DISQUALIFY,Southey
DISQUIET,Swift
DISQUIET,Scott
DISQUIETAL,More
DISQUIETOUS,Milton
DISQUIETTUDE,Sharp
DISQUISITION,Macaulay
DISQUISITORY,Rev
DISRANK,Decker
DISRATE,Marryat
DISREGARD,Blackmore
DISREGARD,Whewell
DISRELISH,Burke
DISRELISH,Milton
DISRELISH,Pope
DISRELISH,Milton
DISREPAIR,Scott
DISREPUTABLE,Watson
DISREPUTATION,Taylor
DISREPUTE,Scott
DISREPUTE,Taylor
DISRESPECT,Pope
DISRESPECT,Comber
DISRESPECTABILITY,Thackeray
DISRESPECTABLE,Arnold
DISRESPECTIVE,Hall
DISREVERENCE,More
DISROBE,Wotton
DISROOT,Goldsmith
DISRUPT,Thomson
DISRUPTIVE,Nichol
DISSATISFACTION,Addison
DISSATISFACTORY,Hamilton
DISSATISFY,Bancroft
DISSECT,Atterbury
DISSECTIBLE,Paley
DISSEIZE,Holland
DISSEIZURE,Speed
DISSEMBLE,Shak
DISSEMBLE,Kemble
DISSEMBLE,Tatler
DISSEMBLER,Bacon
DISSEMBLER,Pope
DISSEMINATE,Woodward
DISSEMINATION,Wayland
DISSEMINATIVE,Taylor
DISSENSION,Dryden
DISSENSIOUS,Chapman
DISSENT,Hallam
DISSENT,Addison
DISSENT,Hooker
DISSENT,Burke
DISSENT,Bacon
DISSENTATION,Browne
DISSENTER,Burke
DISSENTER,Shipley
DISSENTERISM,Rev
DISSENTIENT,Macaulay
DISSERTATE,Foster
DISSERTATOR,Boyle
DISSERVE,Jer
DISSERVICE,Browne
DISSERVICEABLE,Shaftesbury
DISSERVICEABLE,Norris
DISSEVER,Sidney
DISSEVER,Webster
DISSEVER,Chaucer
DISSEVERMENT,Scott
DISSHADOW,Fletcher
DISSHEATHE,Raleigh
DISSIDENCE,Taylor
DISSIDENCE,Burke
DISSILIENCE; DISSILIENCY,Johnson
DISSIMILAR,Boyle
DISSIMILARITY,Jones
DISSIMILARLY,Smart
DISSIMILATION,Sweet
DISSIMILITUDE,Stillingfleet
DISSIMULATION,Bacon
DISSIMULATION,Tatler
DISSIPABLE,Bacon
DISSIPATE,Selden
DISSIPATE,Cook
DISSIPATE,Hazlitt
DISSIPATE,Burnet
DISSIPATED,Johnson
DISSIPATION,Bacon
DISSIPATION,Hale
DISSIPATION,Swift
DISSITE,Holland
DISSLANDER,Hall
DISSOCIABILITY,Warburton
DISSOCIABLE,Spectator
DISSOCIATE,Ward
DISSOCIATION,Burke
DISSOLUBLE,Woodward
DISSOLUBLENESS,Boyle
DISSOLUTENESS,Bancroft
DISSOLUTION,Shak
DISSOLUTION,South
DISSOLUTION,Blackstone
DISSOLUTION,Milton
DISSOLUTION,Shak
DISSOLUTION,Bacon
DISSOLUTION,Hooker
DISSOLVABILITY,Richardson
DISSOLVABLE,Cudworth
DISSOLVABLE,Newton
DISSOLVE,Shak
DISSOLVE,Shak
DISSOLVE,Fairfax
DISSOLVE,Shak
DISSOLVE,Dryden
DISSOLVE,Shak
DISSOLVE,Shak
DISSOLVENT,Ray
DISSOLVENT,Smith
DISSOLVENT,Mothley
DISSOLVER,Otway
DISSONANCE,Milton
DISSONANCE,Milton
DISSONANT,Longfellow
DISSUADE,Goldsmith
DISSUADE,Milton
DISSUASION,Boyle
DISSUASORY,Jeffrey
DISSWEETEN,Richardson
DISSYLLABIFY,Ogilvie
DISTAFF,Fairfax
DISTAFF,Dryden
DISTAFF,Howell
DISTAFF,Shipley
DISTAIN,Spenser
DISTAIN,Shak
DISTANCE,Newton
DISTANCE,Irving
DISTANCE,Campbell
DISTANCE,Addison
DISTANCE,Shak
DISTANCE,Locke
DISTANCE,Prior
DISTANCE,Atterbury
DISTANCE,Bacon
DISTANCE,Milton
DISTANCE,Swift
DISTANCE,Milner
DISTANCY,More
DISTANT,Shak
DISTANT,Prescott
DISTANT,Goldsmith
DISTANT,Shak
DISTANT,Irving
DISTANTIAL,Montagu
DISTASTE,Bacon
DISTASTE,Milton
DISTASTE,Shak
DISTASTE,Davies
DISTASTE,Shak
DISTASTEFUL,Milton
DISTEMPER,Chaucer
DISTEMPER,Shak
DISTEMPER,Buckminster
DISTEMPER,Bacon
DISTEMPER,Raleigh
DISTEMPER,Suckling
DISTEMPER,Shak
DISTEMPER,Bunyan
DISTEMPER,Waller
DISTEMPERATE,Raleigh
DISTEMPERATURE,Shak
DISTEND,Dryden
DISTENT,Wotton
DISTERMINATE,Hall
DISTILL,Pope
DISTILL,Shak
DISTILL,Pope
DISTILL,Drayton
DISTILL,Addison
DISTINCT,Spenser
DISTINCT,Clarendon
DISTINCT,Shak
DISTINCT,Milton
DISTINCTION,Dryden
DISTINCTION,Hooker
DISTINCTION,Locke
DISTINCTION,Dryden
DISTINCTION,Webster
DISTINCTIVE,Bancroft
DISTINCTIVE,Browne
DISTINCTLY,Shak
DISTINCTNESS,Cudworth
DISTINGUISH,Dryden
DISTINGUISH,Nares
DISTINGUISH,Burnet
DISTINGUISH,Watts
DISTINGUISH,Jer
DISTINGUISHABLE,Locke
DISTINGUISHABLE,Swift
DISTINGUISHER,Browne
DISTINGUISHER,Dryden
DISTINGUISHING,Locke
DISTINGUISHING,Simmonds
DISTINGUISHINGLY,Pope
DISTINGUISHMENT,Graunt
DISTITLE,Jonson
DISTORT,Spenser
DISTORT,Thackeray
DISTORT,Tillotson
DISTORTION,Wren
DISTRACT,Fuller
DISTRACT,Goldsmith
DISTRACT,Milton
DISTRACT,Shak
DISTRACTED,Pope
DISTRACTEDLY,Shak
DISTRACTEDNESS,Hall
DISTRACTION,Burnet
DISTRACTION,Eliot
DISTRACTION,Dryden
DISTRACTION,Tatler
DISTRACTION,Atterbury
DISTRAIN,Spenser
DISTRAIN,Camden
DISTRAINABLE,Blackstone
DISTRAUGHT,Shak
DISTRAUGHT,Browning
DISTREAM,Shenstone
DISTRESS,Shak
DISTRESS,Burns
DISTRESS,Burrill
DISTRESS,Spenser
DISTRESS,Blackstone
DISTRESS,Hamilton
DISTRIBUTABLE,Jones
DISTRIBUTE,Shak
DISTRIBUTE,Whately
DISTRIBUTER,Addison
DISTRIBUTION,Wallace
DISTRIBUTIONAL,Huxley
DISTRICT,Foxe
DISTRICT,Blackstone
DISTRICTION,Collier
DISTRUST,Dryden
DISTRUST,Udall
DISTRUST,Collins
DISTRUST,Oliphant
DISTRUST,Milton
DISTRUSTFUL,Pope
DISTRUSTFUL,Boyle
DISTRUSTLESS,Shenstone
DISTURB,Spenser
DISTURB,Burke
DISTURB,Milton
DISTURBANCE,Burke
DISTURBANCE,Bancroft
DISTURBER,Hooker
DISULPHIDE,Bisulphide
DISUNION,Webster
DISUNITE,South
DISUNITY,More
DISUSE,Addison
DISUSE,Southey
DISUTILIZE,Browning
DISVALUATION,Bacon
DISVALUE,Shak
DISVALUE,Jonson
DISWONT,Hall
DISWORSHIP,More
DIT,More
DITATION,Hall
DITCH,Shak
DITCH,Swift
DITE,Spenser
DITHEIST,Cudworth
DITHYRAMB,Bentley
DITTIED,Milton
DITTO,Dickens
DITTY,Spenser
DITTY,Sandys
DITTY,Herbert
DIUREIDE,Ureide
DIURNAL,Shak
DIURNALIST,Hall
DIUTURNITY,Browne
DIVALENT,Valence
DIVAN,Pope
DIVARICATE,Woodward
DIVARICATION,Browne
DIVE,Whately
DIVE,Hayes
DIVE,Burroughs
DIVE,South
DIVE,Denham
DIVE,Emerson
DIVEL,Browne
DIVER,Woodward
DIVER,Wotton
DIVERGENCE; DIVERGENCY,Lewis
DIVERS,Bacon
DIVERS,Shak
DIVERSE,Edwards
DIVERSE,Browning
DIVERSE,Jonson
DIVERSE,Spenser
DIVERSELY,Spenser
DIVERSELY,Pope
DIVERSIFIABILITY,Earle
DIVERSIFIABLE,Boyle
DIVERSIFICATION,Boyle
DIVERSIFICATION,Adventurer
DIVERSIFY,Locke
DIVERSIFY,Taylor
DIVERSION,Knox
DIVERSION,Addison
DIVERSITY,South
DIVERT,Milton
DIVERT,Smith
DIVERT,Evelyn
DIVERTISSEMENT,Smart
DIVERTIVE,Rogers
DIVEST,Goldsmith
DIVIDE,Spenser
DIVIDE,Prescott
DIVIDE,Milton
DIVIDE,Peile
DIVIDE,Bancroft
DIVIDE,Shak
DIVIDE,Shak
DIVIDE,Gibbon
DIVIDER,Milton
DIVIDER,Swift
DIVIDUOUS,Coleridge
DIVINE,Gray
DIVINE,Milton
DIVINE,South
DIVINE,Woodbridge
DIVINE,Bancroft
DIVINE,Spenser
DIVINE,Shak
DIVINELY,Tennyson
DIVINELY,Macaulay
DIVINER,Locke
DIVINERESS,Dryden
DIVINITY,Stillingfleet
DIVINITY,Addison
DIVINITY,Prior
DIVINITY,Cheyne
DIVINITY,Shak
DIVINITY,Shak
DIVINITY,Coleridge
DIVINIZATION,Arnold
DIVINIZE,Arnold
DIVINIZE,Milman
DIVISIBILITY,Hamilton
DIVISIBLE,Hamilton
DIVISIBLE,Glanvill
DIVISION,Gibbon
DIVISION,Addison
DIVISION,Chaucer
DIVISION,Macaulay
DIVISIVE,Mede
DIVISIVE,Shairp
DIVISIVE,Carlyle
DIVORCE,Shak
DIVORCE,Earle
DIVORCE,Shak
DIVORCEMENT,Morris
DIVORCIBLE,Milton
DIVULGATION,Hall
DIVULGE,Cowper
DIVULGE,Milton
DIZEN,Goldsmith
DIZZY,Drayton
DIZZY,Macaulay
DIZZY,Scott
DO,Doing
DO,Caxton
DO,Piers Plowman
DO,Spenser
DO,Shak
